Company,Data
Pibox,667,Music & Digital Entertainment,2018,Helsinki,0.56 M€,"152,228 €
                (2023)",2921507-2
Dobbelgänger,277,Military & Dual-Use,2022,Oulu,Crunchbase,"72,882 €
                (2023)",3317524-5
Darkglass Electronics,1039,Hardware & Devices,2022,Helsinki,Crunchbase,"5,003,807 €
                (2024)",3260036-9
AIContentfy,1543,"SaaS/AdTech, MarTech, E-commerce",2023,Espoo,Crunchbase,N/A,3351759-1
Anyhau,213,,2021,Espoo,Crunchbase,"795 €
                (2023)",3247778-6
Party Bugs,468,Food & Beverage Technology,2018,Helsinki,Crunchbase,"19,137 €
                (2023)",2904432-2
Kendis,531,SaaS/Software Development & Ops,2018,Helsinki,Crunchbase,"862,921 €
                (2023)",2874062-5
Iiwari,296,Building & Construction,2018,Vuokatti,1.47 M€,"175,019 €
                (2023)",2899575-9
Nordtreat,308,Material Technology,2018,Vantaa,10.46 M€,"1,309,006 €
                (2022)",2927144-5
ReceiptHero,523,SaaS/Business Software,2018,Tampere,5.75 M€,"241,176 €
                (2023)",2943241-3
Made of Sundays,555,Other Consumer Technology,2015,Helsinki,Crunchbase,"363,245 €
                (2023)",2711521-1
https://www.vertaaensin.fi/,781,Finance Technology,2015,Helsinki,Crunchbase,"3,067,828 €
                (2023)",2703614-2
Chipmetrics,559,Industrial Equipment,2019,Joensuu,2.27 M€,"615,765 €
                (2023)",3101031-6
OpenCO2.net,454,SaaS/Business Software,2016,Espoo,Crunchbase,"411,899 €
                (2023)",2796796-7
PipeCloud,194,Industrial Equipment,2017,Raisio,Crunchbase,"229,315 €
                (2023)",2856930-3
ForteAI,193,Other Consumer Software & Apps,2022,Joensuu,0.4 M€,N/A,3316458-9
Hookle,681,SaaS/Business Software,2017,Helsinki,0.8 M€,"39,441 €
                (2023)",2853534-9
Neuro Event Labs,317,Health & Medical Technology,2015,Tampere,6.42 M€,"829,941 €
                (2023)",2712284-1
Uoma,203,,2016,Tampere,Crunchbase,"1,086,442 €
                (2023)",2771536-4
Onego Bio,581,Food & Beverage Technology,2022,Helsinki,61.83 M€,N/A,3260781-9
Memocate,246,Health & Medical Technology,2017,Tampere,0.1 M€,"2,267 €
                (2023)",2832002-2
Zenny,179,SaaS/Business Software,2022,Vaasa,Crunchbase,"327,102 €
                (2023)",3309464-8
eMabler,273,Mobility & Vehicles,2019,Helsinki,2.78 M€,"349,215 €
                (2023)",3021922-2
Meluta,245,Industrial Equipment,2015,Tampere,Crunchbase,"34,647 €
                (2023)",2683932-2
Volare,391,Food & Beverage Technology,2021,Hyvinkää,0.73 M€,"16,815 €
                (2023)",3200110-4
HTM Solutions,274,Other own IPR,2021,Espoo,Crunchbase,"701 €
                (2023)",3205278-8
Inven,839,SaaS/Business Software,2022,Helsinki,Crunchbase,"119,164 €
                (2023)",3260222-5
Finnos,342,Industrial Equipment,2016,Lappeenranta,Crunchbase,"14,541,398 €
                (2023)",2756133-4
CooliBlade,294,Industrial Equipment,2021,Oulu,0.74 M€,"203,628 €
                (2023)",3201724-5
Fleetrange,231,SaaS/Business Software,2016,Espoo,Crunchbase,"236,386 €
                (2023)",2790804-3
Synergi,248,Energy Technology,2022,Helsinki,0.73 M€,"1,197 €
                (2023)",3306817-5
Carbofex,497,Climate Technology,2016,Nokia,Crunchbase,"1,491,096 €
                (2023)",2776845-8
Xiphera,443,SaaS/Software Development & Ops,2017,Espoo,0.44 M€,"295,950 €
                (2023)",2843339-3
Book Salon,1302,SaaS/Business Software,2016,Helsinki,3.87 M€,"1,130,644 €
                (2023)",2786121-4
Kuva Space,706,Space Technology,2016,Espoo,22.21 M€,"1,176,055 €
                (2023)",2759225-3
Woamy,273,Material Technology,2022,Espoo,0.94 M€,"35,390 €
                (2023)",3289841-7
ReMinded,159,Health & Medical Technology,2023,Helsinki,Crunchbase,N/A,3383370-3
NorthBase,215,,2019,Tampere,Crunchbase,"0 €
                (2020)",3102639-3
Kelosound,237,Other Consumer Technology,2017,Espoo,Crunchbase,"12,455 €
                (2023)",2804513-9
Carbonaide,382,Climate Technology,2022,Joensuu,1.7 M€,"34,859 €
                (2023)",3326768-4
Fiellberg,175,Industrial Equipment,2015,Vantaa,Crunchbase,"4,167,796 €
                (2023)",2729813-4
Sensofusion,278,,2016,Vantaa,Crunchbase,"7,235,609 €
                (2023)",2757722-1
Zyfra,798,SaaS/Business Software,2018,Helsinki,11.61 M€,"555,969 €
                (2020)",2880023-7
LastBot,223,"SaaS/AdTech, MarTech, E-commerce",2023,Helsinki,Crunchbase,N/A,3361305-7
Sellbery,788,SaaS/Business Software,2017,Helsinki,1.39 M€,"606,860 €
                (2021)",2841075-7
Amistech Games,613,Gaming,2016,Turku,Crunchbase,N/A,2785452-4
Helppy,430,Health & Medical Technology,2018,Helsinki,3.18 M€,"2,107,167 €
                (2023)",2910554-3
6D Tape,237,"Wellness, Fitness & Sports",2016,Sipoo,Crunchbase,"80,324 €
                (2023)",2762626-5
Dentafit,196,"Wellness, Fitness & Sports",2017,Helsinki,Crunchbase,"0 €
                (2023)",2822320-6
Apiable,438,SaaS/Software Development & Ops,2020,Helsinki,0.43 M€,"9,417 €
                (2023)",3129965-8
Healthzilla,197,Other Consumer Software & Apps,2019,Rauma,Crunchbase,"0 €
                (2021)",3021664-6
Kindfull,189,Health & Medical Technology,2017,Tampere,0.2 M€,"42,537 €
                (2020)",2808780-6
Palonot,155,Building & Construction,2016,Espoo,Crunchbase,"366,683 €
                (2021)",2752760-3
KOULU Education Group,147,Education Technology,2014,Littoinen,Crunchbase,"6,090 €
                (2021)",2655429-8
Swappie,1384,Marketplaces,2015,Helsinki,163.35 M€,"207,321,651 €
                (2023)",2692328-4
Vapaus,618,Mobility & Vehicles,2018,Helsinki,17.19 M€,"24,876,066 €
                (2023)",2879502-8
Maketrade,183,Other Consumer Software & Apps,2022,Helsinki,Crunchbase,"64 €
                (2023)",3321202-6
